,SwissProt1,SwissProt2
57981,P37840,P04217
57982,P37840,P04217
57983,P37840,P04217
57989,Q16637,P04217
57990,Q16637,P04217
58093,Q9UGJ0,P04259
58263,Q9UGJ0,P04264
58360,P01023,P04278
58556,Q9UGJ0,P04350
58581,O60260,P04406
58611,P01023,P04406
58626,P04626,P04406
58683,P35637,P04406
58687,P37840,P04406
58688,P37840,P04406
58689,P37840,P04406
58696,P42858,P04406
58697,P42858,P04406
58705,P49768,P04406
58793,Q16637,P04406
58794,Q16637,P04406
58795,Q16637,P04406
58876,Q9UGJ0,P04406
58980,P04626,P04439
59068,P04626,P04626
59069,P04626,P04626
59070,P04626,P04626
59071,P04626,P04626
59536,P03950,P04637
59660,P20226,P04637
59752,P42858,P04637
59753,P42858,P04637
59794,P51587,P04637
59795,P51587,P04637
59796,P51587,P04637
60017,Q16637,P04637
60018,Q16637,P04637
60019,Q16637,P04637
60032,Q5S007,P04637
60038,Q6ZW49,P04637
60371,P37840,P04792
60390,P55072,P04792
60450,Q5S007,P04792
60535,Q9UGJ0,P04792
60695,P55072,P04843
60767,Q9UGJ0,P04843
60794,O95292,P04844
60825,P35637,P04844
61001,Q5S007,P04899
61002,Q5S007,P04899
61084,Q16637,P04908
61125,Q9UGJ0,P04908
61202,P01023,P05023
61205,P04626,P05023
61326,Q9UGJ0,P05023
61363,Q6ZW49,P05026
61374,O60260,P05060
61583,O43464,P05067
61584,O43464,P05067
61608,O60260,P05067
61741,P01023,P05067
61742,P01023,P05067
61769,P04156,P05067
62002,P37231,P05067
62004,P37840,P05067
62005,P37840,P05067
62006,P37840,P05067
62073,P49768,P05067
62074,P49768,P05067
62303,Q13148,P05067
62342,Q13867,P05067
62343,Q13867,P05067
62412,Q16143,P05067
62879,Q92870,P05067
62880,Q92870,P05067
62881,Q92870,P05067
63595,P01023,P05090
63783,P01023,P05108
63853,Q6ZW49,P05109
63882,P01023,P05112
63883,P01023,P05112
63948,P00749,P05120
63949,P00749,P05120
63966,P00749,P05121
63967,P00749,P05121
63968,P00749,P05121
63969,P00749,P05121
64020,P37840,P05129
64065,O60260,P05141
64083,P01023,P05141
64112,P35637,P05141
64141,Q13148,P05141
64167,Q5S007,P05141
64220,Q9UGJ0,P05141
64231,P00749,P05154
64289,P22314,P05161
64299,P55072,P05161
64332,P01023,P05164
64333,P05164,P05164
64334,P05164,P05164
64339,O60260,P05165
64355,O60260,P05166
64406,P42858,P05186
64422,P01023,P05187
64501,P37840,P05198
64791,P35637,P05386
65082,O60260,P05388
65255,Q13148,P05388
65289,Q5S007,P05388
65398,Q9UGJ0,P05388
65558,P20226,P05412
65559,P20226,P05412
65563,P21675,P05412
65587,P37231,P05412
65914,Q13148,P05455
65930,Q6ZW49,P05455
66009,P37231,P05549
66130,P55072,P05556
66336,P28799,P05783
66517,O43464,P05814
66518,O43464,P05814
66571,P00441,P05976
66586,P22314,P05976
66629,Q5S007,P05976
66867,P04626,P06239
67017,Q9HBA0,P06239
67018,Q9HBA0,P06239
67112,P04626,P06241
67140,P10636,P06241
67260,P51587,P06241
67423,Q9HBA0,P06241
67424,Q9HBA0,P06241
67700,P21675,P06400
67701,P21675,P06400
67702,P21675,P06400
67747,P37231,P06400
67956,P04626,P06401
68096,P09936,P06493
68097,P09936,P06493
68162,P51587,P06493
68170,P55072,P06493
68257,Q9UGJ0,P06493
68305,P01023,P06576
68383,P35637,P06576
68475,Q16637,P06576
68476,Q16637,P06576
68477,Q16637,P06576
68523,Q99497,P06576
68552,Q9UGJ0,P06576
68664,Q9UGJ0,P06702
68810,P42858,P06732
68888,P35637,P06733
68892,P42858,P06733
68981,Q9UGJ0,P06733
69014,P00441,P06737
69137,Q9UGJ0,P06737
69185,P35637,P06744
69289,O60260,P06748
69380,P35637,P06748
69439,Q13148,P06748
69456,Q16637,P06748
69463,Q5S007,P06748
69505,Q99497,P06748
69560,O60260,P06753
69627,Q5S007,P06753
69628,Q5S007,P06753
69632,Q6ZW49,P06753
69760,P00749,P07093
69877,P37231,P07148
69878,P37231,P07148
69924,P35637,P07195
69928,P42858,P07195
69962,Q6ZW49,P07195
69988,Q9UGJ0,P07195
69992,O60260,P07196
70004,P12036,P07196
70051,O60260,P07197
70117,Q16637,P07199
70118,Q16637,P07199
70119,Q16637,P07199
70179,O60260,P07237
70188,P00441,P07237
70365,P01023,P07288
70383,O60260,P07305
70641,O60260,P07355
70664,P04626,P07355
70712,P55072,P07355
70853,O43464,P07437
70859,O60260,P07437
70910,P10636,P07437
70946,P35637,P07437
70950,P37840,P07437
70958,P42858,P07437
70959,P42858,P07437
70977,P55072,P07437
71028,Q13148,P07437
71122,Q99497,P07437
71138,Q9BXM7,P07437
71175,Q9UGJ0,P07437
71364,P55072,P07602
71489,P35637,P07737
71562,Q9UGJ0,P07737
71791,Q5S007,P07814
71845,Q9UGJ0,P07814
71981,O60260,P07900
72040,P04626,P07900
72041,P04626,P07900
72042,P04626,P07900
72043,P04626,P07900
72081,P09936,P07900
72082,P09936,P07900
72151,P35637,P07900
72161,P37840,P07900
72239,Q13148,P07900
72294,Q5S007,P07900
72295,Q5S007,P07900
72424,Q9UGJ0,P07900
72502,Q13867,P07902
72524,O60260,P07910
72582,P42858,P07910
72621,Q13148,P07910
72692,Q9UGJ0,P07910
72710,P42858,P07919
72849,Q9HBA0,P07947
72850,Q9HBA0,P07947
73169,Q5S007,P07951
73483,P42858,P08047
73484,P42858,P08047
73758,O60260,P08107
73919,P55072,P08107
74089,Q9BXM7,P08107
